Ref,Val,Package,PosX,PosY,Rot,Side
"R6","10kΩ","R_1206_3216Metric",165.800000,-79.000000,0.000000,top
"R7","10kΩ","R_1206_3216Metric",161.000000,-76.400000,0.000000,top
"R8","10kΩ","R_1206_3216Metric",126.300000,-85.230000,0.000000,top
"R9","18Ω","R_1206_3216Metric",134.500000,-72.500000,90.000000,top
"R10","18Ω","R_1206_3216Metric",142.500000,-71.890000,90.000000,top
"R11","18Ω","R_1206_3216Metric",150.500000,-72.500000,90.000000,top
"R12","18Ω","R_1206_3216Metric",158.500000,-72.500000,90.000000,top
"R13","470Ω","R_0805_2012Metric",134.500000,-82.000000,0.000000,top
"R14","100kΩ","R_1206_3216Metric",139.500000,-82.000000,0.000000,top
"R15","1kΩ","R_1206_3216Metric",110.000000,-113.200000,0.000000,top
"R16","470Ω","R_0805_2012Metric",115.100000,-101.100000,90.000000,top
"R17","470Ω","R_0805_2012Metric",119.750000,-101.100000,90.000000,top
"R18","470Ω","R_0805_2012Metric",124.400000,-101.100000,90.000000,top
"R19","470Ω","R_0805_2012Metric",148.000000,-83.000000,90.000000,top
"R20","1kΩ","R_0805_2012Metric",149.500000,-90.900000,0.000000,top
"R21","0Ω","R_0603_1608Metric",131.050000,-90.100000,90.000000,top
"R22","10kΩ","R_1206_3216Metric",154.500000,-76.800000,0.000000,top
"R23","100kΩ","R_0603_1608Metric",144.200000,-81.500000,90.000000,top
"R24","100kΩ","R_0603_1608Metric",154.050000,-98.940000,0.000000,top
"R25","1kΩ","R_0805_2012Metric",149.500000,-93.150000,0.000000,top
"R26","0Ω","R_0603_1608Metric",130.900000,-94.800000,90.000000,top
"R27","100Ω","R_1206_3216Metric",168.880000,-73.000000,0.000000,top
"R28","4.7kΩ","R_1206_3216Metric",170.800000,-91.500000,0.000000,top
"R29","4.7kΩ","R_1206_3216Metric",170.800000,-94.000000,0.000000,top
"R30","18Ω","R_1206_3216Metric",125.200000,-71.000000,90.000000,top
"SW1","RESET","SW-SMD_L3.9-W3.0-P4.45",152.000000,-108.300000,0.000000,top
"SW2","BOOT","SW-SMD_L3.9-W3.0-P4.45",162.000000,-108.300000,0.000000,top
"U1","AP63203WU","TSOT-23-6",110.000000,-102.000000,180.000000,top
"U2","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",138.500000,-91.500000,-90.000000,top
"U3","ESP32-WROOM-32E","ESP32-WROOM-32D",113.500000,-78.000000,90.000000,top
"U4","TSOP382xx","Vishay_MINICAST-3Pin",175.000000,-71.000000,-90.000000,top
"U5","AM2302","ASAIR_AM2302_P2.54mm_Vertical",166.000000,-84.500000,0.000000,top
